customer_id,name,signup_date,loyalty_tier,total_orders,total_spent,last_order_date,email_opt_in,churned_flag
C0001,Arjun Rao,2025-04-13,Gold,10,133.93,2025-12-01,0,0
C0002,Ananya Shetty,2024-07-13,Bronze,8,130.51,2025-03-17,0,1
C0003,Rohan Gupta,2025-09-27,Silver,1,8.16,2025-04-22,1,1
C0004,Pooja Kulkarni,2024-06-09,Bronze,11,161.36,2025-12-05,1,0
C0005,Aditya Nair,2024-07-23,Silver,4,63.82,2025-12-08,0,0
C0006,Meera Sharma,2025-05-18,Gold,7,51.84,2025-12-07,1,0
C0007,Aditya Shetty,2024-04-12,Silver,4,30.37,2025-12-03,1,0
C0008,Pooja Iyer,2025-07-08,Silver,4,48.38,2025-05-24,0,1
C0009,Priya Pillai,2024-11-28,Bronze,10,167.31,2025-11-24,1,0
C0010,Sanjay Iyer,2025-10-12,Silver,5,56.12,2025-03-23,0,1
C0011,Deepak Sharma,2024-06-15,Bronze,8,151.94,2025-12-01,0,0
C0012,Aditya Reddy,2025-01-27,Silver,5,33.39,2025-12-03,1,0
C0013,Manoj Gupta,2024-08-12,Bronze,8,93.65,2025-12-01,1,0
C0014,Lakshmi Reddy,2025-07-03,Gold,7,83.98,2025-05-18,0,1
C0015,Arjun Nair,2025-07-19,Silver,6,106.21,2025-04-07,0,1
C0016,Rohan Kulkarni,2025-06-23,Bronze,4,60.36,2025-11-23,1,0
C0017,Rahul Rao,2025-07-01,Silver,4,35.47,2025-11-21,0,0
C0018,Vikram Shetty,2025-09-11,Bronze,5,49.91,2025-12-02,1,0
C0019,Ritu Sharma,2024-03-17,Silver,1,6.3,2025-12-04,1,0
C0020,Lakshmi Gupta,2024-05-25,Bronze,6,67.37,2025-11-26,0,0
C0021,Divya Gupta,2024-04-21,Bronze,5,85.39,2025-11-30,0,0
C0022,Aditya Menon,2025-03-08,Silver,7,97.15,2025-11-26,0,0
C0023,Arjun Nair,2024-06-17,Bronze,6,79.96,2025-03-04,1,1
C0024,Ritu Iyer,2025-11-15,Bronze,4,83.48,2025-12-07,1,0
C0025,Aditya Menon,2024-12-29,Bronze,8,151.88,2025-11-23,1,0
C0026,Divya Nair,2025-03-25,Bronze,2,25.85,2025-12-02,1,0
C0027,Ritu Nair,2025-06-30,Bronze,5,88.25,2025-11-23,0,0
C0028,Nisha Kulkarni,2024-02-21,Bronze,5,90.27,2025-11-26,0,0
C0029,Divya Nair,2024-12-16,Bronze,5,86.85,2025-08-08,1,1
C0030,Meera Iyer,2024-08-19,Bronze,4,59.98,2025-11-28,1,0
C0031,Karthik Kulkarni,2024-08-16,Silver,1,10.63,2025-12-07,1,0
C0032,Rahul Pillai,2025-08-16,Silver,1,14.29,2025-06-15,0,1
C0033,Ritu Nair,2024-08-19,Silver,5,62.08,2025-11-26,0,0
C0034,Sneha Shetty,2024-10-17,Silver,10,112.63,2025-08-27,1,1
C0035,Divya Kulkarni,2025-08-26,Gold,7,79.29,2025-11-24,1,0
C0036,Sanjay Reddy,2024-06-25,Gold,9,63.91,2025-11-24,1,0
C0037,Varun Nair,2025-04-06,Silver,7,94.41,2025-12-08,1,0
C0038,Deepak Reddy,2025-07-13,Bronze,8,98.11,2025-12-10,1,0
C0039,Priya Kulkarni,2024-07-31,Bronze,4,27.94,2025-11-26,1,0
C0040,Kavya Menon,2025-08-28,Bronze,6,52.75,2025-11-23,1,0
C0041,Sneha Reddy,2024-12-09,Bronze,8,82.75,2025-12-01,0,0
C0042,Vikram Iyer,2025-06-03,Bronze,6,131.97,2025-11-21,0,0
C0043,Divya Reddy,2024-02-28,Bronze,8,131.24,2025-12-10,0,0
C0044,Pooja Pillai,2025-08-15,Bronze,3,54.06,2025-11-27,0,0
C0045,Rahul Sharma,2024-11-11,Silver,12,139.67,2025-11-24,1,0
C0046,Ritu Kulkarni,2024-09-18,Silver,8,84.5,2025-11-23,0,0
C0047,Sanjay Menon,2024-06-12,Bronze,5,50.47,2025-11-30,0,0
C0048,Ananya Nair,2024-02-24,Bronze,2,26.59,2025-11-30,1,0
C0049,Aditya Kulkarni,2025-03-12,Bronze,5,35.37,2025-06-08,1,1
C0050,Varun Iyer,2024-04-07,Silver,7,122.19,2025-11-22,1,0
C0051,Sanjay Menon,2025-08-25,Silver,8,95.93,2025-11-21,1,0
C0052,Rohan Nair,2025-07-27,Silver,4,71.39,2025-04-12,1,1
C0053,Rohan Rao,2024-05-15,Bronze,9,120.33,2025-12-03,0,0
C0054,Rohan Rao,2025-02-19,Bronze,10,91.98,2025-03-01,1,1
C0055,Lakshmi Rao,2024-10-21,Bronze,4,33.7,2025-11-24,0,0
C0056,Ananya Rao,2025-05-20,Bronze,9,81.08,2025-03-05,1,1
C0057,Nisha Kulkarni,2024-05-14,Silver,2,26.37,2025-06-20,0,1
C0058,Ritu Pillai,2024-11-06,Silver,7,52.78,2025-04-05,1,1
C0059,Pooja Rao,2024-05-23,Bronze,5,95.8,2025-12-02,1,0
C0060,Divya Nair,2025-05-12,Bronze,3,19.69,2025-12-10,1,0
C0061,Priya Gupta,2024-05-14,Bronze,6,110.62,2025-12-07,0,0
C0062,Priya Menon,2024-09-27,Bronze,5,101.77,2025-08-02,1,1
C0063,Meera Shetty,2024-02-26,Gold,14,279.68,2025-12-02,1,0
C0064,Pooja Rao,2024-06-07,Silver,5,83.5,2025-12-09,1,0
C0065,Manoj Iyer,2025-10-03,Silver,8,54.27,2025-11-21,1,0
C0066,Aditya Gupta,2025-03-19,Gold,3,57.06,2025-12-04,1,0
C0067,Ritu Rao,2025-11-09,Bronze,6,65.12,2025-11-28,0,0
C0068,Vikram Kulkarni,2025-08-08,Bronze,7,137.62,2025-05-27,1,1
C0069,Deepak Kulkarni,2025-08-09,Bronze,2,27.23,2025-12-08,1,0
C0070,Meera Kulkarni,2025-07-22,Bronze,4,42.72,2025-05-27,0,1
C0071,Ananya Kulkarni,2025-11-20,Bronze,6,78.56,2025-12-04,1,0
C0072,Meera Reddy,2024-08-26,Bronze,2,39.56,2025-11-23,0,0
C0073,Sneha Sharma,2024-11-05,Bronze,7,101.87,2025-04-17,0,1
C0074,Ananya Pillai,2024-04-14,Bronze,7,139.39,2025-12-01,1,0
C0075,Manoj Nair,2025-08-04,Gold,6,113.87,2025-05-23,0,1
C0076,Manoj Rao,2025-05-25,Silver,8,86.31,2025-12-03,0,0
C0077,Meera Shetty,2025-11-25,Silver,4,46.41,2025-12-05,1,0
C0078,Karthik Nair,2024-01-23,Bronze,4,37.2,2025-11-24,1,0
C0079,Vikram Nair,2024-10-29,Gold,7,140.24,2025-11-24,0,0
C0080,Lakshmi Nair,2025-06-08,Bronze,5,38.05,2025-11-28,0,0
C0081,Deepak Sharma,2024-07-30,Bronze,3,57.42,2025-11-30,0,0
C0082,Meera Nair,2024-12-14,Silver,6,80.57,2025-11-21,1,0
C0083,Manoj Menon,2024-01-25,Silver,5,94.49,2025-12-03,1,0
C0084,Ananya Rao,2024-11-29,Bronze,8,172.4,2025-07-10,0,1
C0085,Rohan Shetty,2025-03-11,Bronze,5,60.2,2025-11-29,1,0
