employee_id,name,role,department,warehouse_id,warehouse_name,hire_date,termination_date,annual_salary_inr,safety_incidents,performance_rating,status
EMP0001,Harish Rao,Picking & Packing,Warehouse Operations,W1,Bengaluru North DC,2022-11-30,2025-12-25,368880.27,0,3.3,Terminated
EMP0002,Ravi Iyengar,Picking & Packing,Warehouse Operations,W1,Bengaluru North DC,2024-11-07,,313007.08,0,3.2,Active
EMP0003,Anitha Naidu,Inventory Control,Warehouse Operations,W1,Bengaluru North DC,2021-01-01,,409199.13,0,2.6,Active
EMP0004,Arun Naidu,Warehouse Ops,Warehouse Operations,W1,Bengaluru North DC,2024-02-19,,447102.72,0,2.7,Active
EMP0005,Sunita Shetty,Inventory Control,Warehouse Operations,W1,Bengaluru North DC,2025-07-19,,389891.08,1,2.6,Active
EMP0006,Meenal Rao,Picking & Packing,Warehouse Operations,W1,Bengaluru North DC,2022-07-29,,442149.84,0,2.9,Active
EMP0007,Divya Menon,Inventory Control,Warehouse Operations,W1,Bengaluru North DC,2023-03-23,,450806.94,0,2.9,Active
EMP0008,Meenal Naidu,Inventory Control,Warehouse Operations,W1,Bengaluru North DC,2023-06-24,,369038.23,2,3.6,Active
EMP0009,Sunita Nair,Picking & Packing,Warehouse Operations,W1,Bengaluru North DC,2023-12-19,,321777.71,1,2.7,Active
EMP0010,Ganesh Bhat,Picking & Packing,Warehouse Operations,W1,Bengaluru North DC,2025-03-11,2025-11-01,306938.22,0,4.7,Terminated
EMP0011,Meenal Rao,Inventory Control,Warehouse Operations,W1,Bengaluru North DC,2022-02-02,2024-07-18,297587.15,0,4.6,Terminated
EMP0012,Ajay Gowda,Picking & Packing,Warehouse Operations,W1,Bengaluru North DC,2021-01-29,,290206.31,1,3.9,Active
EMP0013,Sunita Iyengar,Warehouse Ops,Warehouse Operations,W1,Bengaluru North DC,2019-03-22,2024-01-12,380662.78,0,3.4,Terminated
EMP0014,Manoj Rao,Shipping/Logistics,Warehouse Operations,W1,Bengaluru North DC,2024-06-07,,428095.64,0,3.7,Active
EMP0015,Deepika Nair,Inventory Control,Warehouse Operations,W1,Bengaluru North DC,2025-01-26,,478111.3,0,2.8,Active
EMP0016,Ajay Gowda,Warehouse Ops,Warehouse Operations,W1,Bengaluru North DC,2022-12-16,,473511.15,0,3.0,Active
EMP0017,Sunita Pillai,Inventory Control,Warehouse Operations,W1,Bengaluru North DC,2019-09-22,2025-08-11,357333.21,0,4.8,Terminated
EMP0018,Divya Gowda,Picking & Packing,Warehouse Operations,W2,Chennai Hub,2020-10-24,2025-08-23,407241.75,1,3.2,Terminated
EMP0019,Vinay Menon,Shipping/Logistics,Warehouse Operations,W2,Chennai Hub,2020-09-12,,379121.08,1,4.7,Active
EMP0020,Arun Gowda,Picking & Packing,Warehouse Operations,W2,Chennai Hub,2021-07-12,,301020.93,0,4.2,Active
EMP0021,Preethi Gowda,Picking & Packing,Warehouse Operations,W2,Chennai Hub,2023-10-04,2024-03-19,376565.45,0,4.7,Terminated
EMP0022,Shalini Bhat,Picking & Packing,Warehouse Operations,W2,Chennai Hub,2020-03-20,,446562.16,0,4.7,Active
EMP0023,Pallavi Iyengar,Inventory Control,Warehouse Operations,W2,Chennai Hub,2025-09-27,,287561.53,0,2.8,Active
EMP0024,Anitha Pillai,Warehouse Ops,Warehouse Operations,W2,Chennai Hub,2019-03-26,,294738.15,0,3.3,Active
EMP0025,Sunita Iyengar,Warehouse Ops,Warehouse Operations,W2,Chennai Hub,2025-06-22,,410085.19,1,4.7,Active
EMP0026,Shalini Rao,Inventory Control,Warehouse Operations,W2,Chennai Hub,2020-01-26,,417656.61,0,4.1,Active
EMP0027,Preethi Nair,Warehouse Ops,Warehouse Operations,W2,Chennai Hub,2020-08-18,,435748.97,0,3.2,Active
EMP0028,Kavitha Gowda,Shipping/Logistics,Warehouse Operations,W2,Chennai Hub,2025-11-02,,431626.74,0,2.9,Active
EMP0029,Ravi Shetty,Inventory Control,Warehouse Operations,W2,Chennai Hub,2025-05-07,,355424.45,0,3.1,Active
EMP0030,Ajay Iyengar,Shipping/Logistics,Warehouse Operations,W2,Chennai Hub,2019-11-05,2025-06-10,393412.56,0,3.8,Terminated
EMP0031,Manoj Shetty,Picking & Packing,Warehouse Operations,W2,Chennai Hub,2023-11-02,2024-11-22,465023.47,1,3.7,Terminated
EMP0032,Ajay Nair,Inventory Control,Warehouse Operations,W2,Chennai Hub,2021-01-15,,351436.36,0,4.4,Active
EMP0033,Manoj Pillai,Picking & Packing,Warehouse Operations,W2,Chennai Hub,2022-01-30,,389645.15,0,2.7,Active
EMP0034,Vinay Shetty,Inventory Control,Warehouse Operations,W3,Pune Regional,2022-03-07,,339594.74,0,3.7,Active
EMP0035,Preethi Menon,Inventory Control,Warehouse Operations,W3,Pune Regional,2021-10-02,2024-04-18,466999.56,1,3.2,Terminated
EMP0036,Swati Nair,Inventory Control,Warehouse Operations,W3,Pune Regional,2025-10-16,,344578.47,0,3.8,Active
EMP0037,Divya Iyengar,Shipping/Logistics,Warehouse Operations,W3,Pune Regional,2022-03-19,2024-04-03,467927.91,1,3.9,Terminated
EMP0038,Ramesh Pillai,Picking & Packing,Warehouse Operations,W3,Pune Regional,2020-03-18,,369704.56,0,3.1,Active
EMP0039,Harish Bhat,Warehouse Ops,Warehouse Operations,W3,Pune Regional,2019-09-01,,439501.46,2,2.7,Active
EMP0040,Shalini Nair,Picking & Packing,Warehouse Operations,W3,Pune Regional,2025-01-05,,438602.43,1,3.3,Active
EMP0041,Deepika Pillai,Warehouse Ops,Warehouse Operations,W3,Pune Regional,2023-10-04,2024-12-13,349534.72,2,4.1,Terminated
EMP0042,Swati Shetty,Picking & Packing,Warehouse Operations,W3,Pune Regional,2024-02-01,2024-03-08,287647.14,0,2.9,Terminated
EMP0043,Pallavi Iyengar,Shipping/Logistics,Warehouse Operations,W3,Pune Regional,2023-06-17,2025-09-24,369888.95,0,3.5,Terminated
EMP0044,Ravi Nair,Warehouse Ops,Warehouse Operations,W3,Pune Regional,2020-09-26,2024-11-10,299878.71,0,3.6,Terminated
EMP0045,Sunita Kamath,Picking & Packing,Warehouse Operations,W3,Pune Regional,2025-06-11,,381536.45,0,4.7,Active
EMP0046,Pallavi Gowda,Inventory Control,Warehouse Operations,W3,Pune Regional,2020-08-18,2025-01-16,419267.78,0,3.7,Terminated
EMP0047,Vinay Kamath,Inventory Control,Warehouse Operations,W3,Pune Regional,2025-01-24,,477836.97,1,3.7,Active
EMP0048,Manoj Gowda,Picking & Packing,Warehouse Operations,W3,Pune Regional,2024-08-10,,436629.9,1,3.3,Active
EMP0049,Manoj Menon,Picking & Packing,Warehouse Operations,W3,Pune Regional,2024-10-31,,436102.21,0,3.0,Active
EMP0050,Kavitha Nair,Shipping/Logistics,Warehouse Operations,W3,Pune Regional,2022-06-18,2024-09-15,400858.28,0,2.9,Terminated
EMP0051,Ramesh Gowda,Inventory Control,Warehouse Operations,W3,Pune Regional,2023-12-28,,371337.81,3,3.8,Active
EMP0052,Shalini Iyengar,Picking & Packing,Warehouse Operations,W3,Pune Regional,2020-09-05,2024-11-27,304237.14,1,3.0,Terminated
EMP0053,Ravi Nair,Warehouse Ops,Warehouse Operations,W3,Pune Regional,2023-03-12,,333759.79,0,4.1,Active
EMP0054,Sunita Naidu,Inventory Control,Warehouse Operations,W3,Pune Regional,2019-02-07,,451657.22,2,3.1,Active
EMP0055,Shalini Pillai,Picking & Packing,Warehouse Operations,W3,Pune Regional,2023-06-15,2024-05-06,295346.94,1,3.4,Terminated
EMP0056,Manoj Menon,Shipping/Logistics,Warehouse Operations,W4,Hyderabad DC,2023-01-21,,317291.34,1,2.6,Active
EMP0057,Ramesh Gowda,Warehouse Ops,Warehouse Operations,W4,Hyderabad DC,2019-04-23,,375404.1,0,4.5,Active
EMP0058,Ajay Shetty,Picking & Packing,Warehouse Operations,W4,Hyderabad DC,2023-04-20,2025-12-20,286430.22,0,4.7,Terminated
EMP0059,Swati Shetty,Warehouse Ops,Warehouse Operations,W4,Hyderabad DC,2023-05-16,2025-05-13,443297.43,0,4.2,Terminated
EMP0060,Divya Iyengar,Warehouse Ops,Warehouse Operations,W4,Hyderabad DC,2023-06-17,,420377.02,0,3.7,Active
EMP0061,Sunita Nair,Picking & Packing,Warehouse Operations,W4,Hyderabad DC,2020-04-20,,416359.7,1,4.1,Active
EMP0062,Ganesh Naidu,Inventory Control,Warehouse Operations,W4,Hyderabad DC,2019-07-23,,408613.27,0,3.8,Active
EMP0063,Arun Bhat,Picking & Packing,Warehouse Operations,W4,Hyderabad DC,2021-03-17,2024-02-20,465847.98,1,3.7,Terminated
EMP0064,Naveen Gowda,Shipping/Logistics,Warehouse Operations,W4,Hyderabad DC,2019-09-02,2025-08-18,322064.49,0,3.2,Terminated
EMP0065,Ajay Naidu,Shipping/Logistics,Warehouse Operations,W4,Hyderabad DC,2020-02-03,2025-01-21,432392.22,0,3.2,Terminated
EMP0066,Preethi Kamath,Shipping/Logistics,Warehouse Operations,W4,Hyderabad DC,2023-07-29,,417106.67,2,3.6,Active
EMP0067,Harish Naidu,Warehouse Ops,Warehouse Operations,W4,Hyderabad DC,2019-09-08,,389819.17,1,4.4,Active
EMP0068,Naveen Bhat,Picking & Packing,Warehouse Operations,W4,Hyderabad DC,2025-07-28,,387731.99,0,3.5,Active
EMP0069,Sunita Bhat,Warehouse Ops,Warehouse Operations,W4,Hyderabad DC,2021-12-29,2024-04-13,339005.35,0,2.7,Terminated
EMP0070,Deepika Menon,Inventory Control,Warehouse Operations,W4,Hyderabad DC,2021-12-06,,418525.14,0,2.6,Active
EMP0071,Kavitha Bhat,Shipping/Logistics,Warehouse Operations,W4,Hyderabad DC,2024-08-30,,435260.7,0,3.1,Active
EMP0072,Sunita Iyengar,Inventory Control,Warehouse Operations,W4,Hyderabad DC,2021-06-08,,437532.39,0,4.6,Active
EMP0073,Naveen Rao,Picking & Packing,Warehouse Operations,W4,Hyderabad DC,2023-09-07,,447619.91,0,3.1,Active
EMP0074,Kavitha Menon,Warehouse Ops,Warehouse Operations,W4,Hyderabad DC,2021-12-05,2024-06-10,327371.84,0,3.6,Terminated
EMP0075,Meenal Pillai,Warehouse Ops,Warehouse Operations,W4,Hyderabad DC,2021-03-28,,280286.56,0,3.9,Active
EMP0076,Shalini Naidu,Inventory Control,Warehouse Operations,W4,Hyderabad DC,2021-01-18,,428536.97,0,4.7,Active
EMP0077,Naveen Shetty,Shipping/Logistics,Warehouse Operations,W4,Hyderabad DC,2022-11-21,,449314.57,0,3.8,Active
EMP0078,Ravi Rao,Inventory Control,Warehouse Operations,W4,Hyderabad DC,2022-03-22,2024-08-16,329227.43,0,4.4,Terminated
