customer_id,name,city,signup_date,loyalty_tier,total_orders,total_spent,last_purchase_date,preferred_store,churned_flag
CU00001,Ishita Desai,Bengaluru,2023-11-10,Basic,3,9984.79,2025-12-01,S1,0
CU00002,Rohit Ahluwalia,Bengaluru,2025-04-14,Silver,4,16396.64,2024-04-17,S3,1
CU00003,Zara Bose,Bengaluru,2024-09-28,Basic,3,8503.65,2025-11-18,S3,0
CU00004,Naina Ahluwalia,Bengaluru,2025-05-17,Basic,5,13699.69,2025-11-24,S2,0
CU00005,Kriti Chopra,Bengaluru,2025-03-18,Silver,6,18654.77,2025-11-26,S1,0
CU00006,Tanvi Malhotra,Bengaluru,2023-09-25,Basic,2,3911.43,2025-11-27,S1,0
CU00007,Yash Chopra,Bengaluru,2024-07-14,Gold,3,13234.49,2024-02-19,S2,1
CU00008,Aditya Chopra,Bengaluru,2024-03-16,Silver,4,13751.02,2025-11-17,S1,0
CU00009,Tanvi Ahluwalia,Bengaluru,2023-11-20,Silver,4,16125.34,2024-01-22,S1,1
CU00010,Rishi Rane,Bengaluru,2024-10-04,Gold,6,9444.2,2024-07-13,S1,1
CU00011,Zara Bhatia,Bengaluru,2025-10-25,Basic,5,9693.36,2025-11-15,S2,0
CU00012,Farhan Ahluwalia,Bengaluru,2025-06-01,Silver,7,29956.78,2025-11-23,S3,0
CU00013,Ishita Bose,Bengaluru,2024-02-17,Basic,2,4714.23,2025-11-17,S1,0
CU00014,Kabir Bose,Bengaluru,2025-04-25,Basic,4,5109.02,2024-04-04,S3,1
CU00015,Tanvi Kapoor,Bengaluru,2023-06-21,Silver,6,13636.2,2025-11-20,S2,0
CU00016,Naina Bhatia,Bengaluru,2025-09-28,Silver,2,8633.61,2025-11-08,S3,0
CU00017,Kriti Rane,Bengaluru,2025-08-07,Basic,4,8219.75,2024-02-19,S2,1
CU00018,Aryan Sethi,Bengaluru,2023-12-03,Silver,4,9991.15,2025-11-26,S2,0
CU00019,Manav Malhotra,Bengaluru,2025-07-12,Silver,4,5288.77,2024-11-10,S3,1
CU00020,Zara Desai,Bengaluru,2023-10-01,Silver,2,8265.74,2025-11-20,S3,0
CU00021,Kriti Bose,Bengaluru,2024-12-27,Gold,4,11342.03,2025-12-01,S3,0
CU00022,Tanvi Bhatia,Bengaluru,2024-05-01,Basic,1,1399.17,2025-11-11,S2,0
CU00023,Naina Chatterjee,Bengaluru,2023-09-10,Basic,7,21037.42,2025-11-22,S2,0
CU00024,Yash Desai,Bengaluru,2024-10-04,Basic,8,22089.34,2024-05-19,S2,1
CU00025,Farhan Chatterjee,Bengaluru,2023-11-04,Platinum,6,18438.7,2025-11-24,S2,0
CU00026,Kabir Kapoor,Bengaluru,2023-11-03,Basic,7,23929.78,2025-11-21,S2,0
CU00027,Ishita Bose,Bengaluru,2025-02-06,Gold,4,14422.52,2025-11-23,S2,0
CU00028,Yash Bose,Bengaluru,2024-03-26,Silver,5,21684.16,2025-11-26,S3,0
CU00029,Aryan Rane,Bengaluru,2024-06-17,Basic,3,3772.22,2024-07-11,S3,1
CU00030,Kriti Bhatia,Bengaluru,2024-08-11,Basic,5,18890.36,2025-11-07,S2,0
CU00031,Rohit Sethi,Bengaluru,2025-08-05,Platinum,5,20791.23,2025-11-09,S2,0
CU00032,Kriti Malhotra,Bengaluru,2024-12-30,Basic,2,8443.38,2025-11-22,S1,0
CU00033,Naina Bose,Bengaluru,2023-11-22,Basic,10,27496.44,2024-06-15,S1,1
CU00034,Aditya Kapoor,Bengaluru,2024-05-06,Gold,6,23739.77,2024-08-11,S3,1
CU00035,Naina Kapoor,Bengaluru,2025-05-16,Basic,5,18628.76,2025-11-27,S2,0
CU00036,Nandini Desai,Bengaluru,2025-07-27,Basic,3,7392.38,2024-02-07,S3,1
CU00037,Anika Sethi,Bengaluru,2025-03-31,Gold,5,13090.24,2024-02-07,S1,1
CU00038,Aditya Malhotra,Bengaluru,2024-02-05,Platinum,11,19172.14,2025-11-23,S2,0
CU00039,Vivaan Rane,Bengaluru,2025-09-10,Basic,9,15572.67,2024-07-14,S1,1
CU00040,Aisha Bhatia,Bengaluru,2023-10-04,Gold,5,6702.37,2024-09-24,S2,1
CU00041,Ishita Ahluwalia,Bengaluru,2024-12-27,Silver,3,9333.72,2025-11-14,S2,0
CU00042,Manav Sethi,Bengaluru,2025-07-01,Silver,4,16806.17,2024-06-24,S1,1
CU00043,Simran Chatterjee,Bengaluru,2025-06-29,Basic,4,14540.0,2025-11-26,S3,0
CU00044,Ishita Malhotra,Bengaluru,2025-03-31,Basic,8,20625.32,2025-11-16,S3,0
CU00045,Ishita Desai,Bengaluru,2025-01-26,Gold,2,6470.61,2025-11-20,S1,0
CU00046,Aryan Chatterjee,Bengaluru,2024-11-09,Basic,4,11982.62,2025-11-17,S2,0
CU00047,Ishita Chatterjee,Bengaluru,2025-05-26,Basic,3,9809.91,2024-08-09,S3,1
CU00048,Ishita Malhotra,Bengaluru,2023-09-05,Basic,4,8319.39,2025-11-29,S3,0
CU00049,Kabir Rane,Bengaluru,2024-03-20,Basic,5,9581.79,2025-11-13,S3,0
CU00050,Anika Sethi,Bengaluru,2024-10-25,Platinum,6,8896.28,2025-11-21,S1,0
CU00051,Dev Sethi,Bengaluru,2025-08-07,Platinum,2,3931.18,2025-11-27,S3,0
CU00052,Aditya Sethi,Bengaluru,2025-04-14,Silver,4,6577.8,2025-11-14,S3,0
CU00053,Anika Chatterjee,Bengaluru,2025-03-08,Basic,7,23564.97,2025-11-07,S2,0
CU00054,Zara Rane,Bengaluru,2024-05-15,Basic,4,16762.14,2024-03-06,S2,1
CU00055,Kriti Kapoor,Bengaluru,2024-01-14,Silver,5,6834.99,2025-11-21,S1,0
CU00056,Aisha Ahluwalia,Bengaluru,2023-12-25,Gold,2,7677.93,2024-08-22,S2,1
CU00057,Rishi Bose,Bengaluru,2023-10-26,Basic,1,2640.52,2025-11-24,S1,0
CU00058,Manav Kapoor,Bengaluru,2024-10-16,Silver,5,13787.33,2025-11-29,S3,0
CU00059,Zara Chopra,Bengaluru,2025-09-14,Silver,1,2338.65,2025-11-15,S3,0
CU00060,Farhan Bhatia,Bengaluru,2024-05-15,Silver,5,6252.8,2025-11-24,S3,0
CU00061,Aryan Ahluwalia,Bengaluru,2024-04-04,Gold,2,4439.46,2025-11-26,S3,0
CU00062,Kriti Bhatia,Bengaluru,2025-03-27,Silver,5,8302.08,2025-11-11,S1,0
CU00063,Vivaan Bose,Bengaluru,2025-04-27,Silver,5,19554.59,2025-11-22,S2,0
CU00064,Yash Kapoor,Bengaluru,2024-11-07,Basic,7,31169.26,2024-12-24,S1,1
CU00065,Kriti Sethi,Bengaluru,2023-09-27,Platinum,4,16238.47,2025-11-14,S3,0
CU00066,Dev Chatterjee,Bengaluru,2024-08-25,Basic,6,21932.44,2025-11-14,S3,0
CU00067,Kriti Bhatia,Bengaluru,2024-11-04,Basic,7,17119.7,2025-11-26,S3,0
CU00068,Farhan Bose,Bengaluru,2023-06-23,Silver,2,5180.02,2025-11-20,S1,0
CU00069,Ishita Chopra,Bengaluru,2024-07-16,Basic,6,10070.85,2025-11-12,S3,0
CU00070,Kriti Bose,Bengaluru,2025-06-06,Basic,6,25888.26,2025-11-09,S3,0
CU00071,Vivaan Chopra,Bengaluru,2025-03-03,Basic,3,7667.86,2024-05-26,S3,1
CU00072,Aryan Bhatia,Bengaluru,2025-10-11,Basic,3,11362.31,2024-09-13,S3,1
CU00073,Aisha Chatterjee,Bengaluru,2025-07-09,Gold,6,12330.96,2024-05-05,S3,1
CU00074,Rohit Ahluwalia,Bengaluru,2025-07-18,Gold,7,9815.46,2024-09-22,S1,1
CU00075,Zara Ahluwalia,Bengaluru,2025-07-09,Silver,2,2881.29,2025-11-09,S3,0
CU00076,Tanvi Desai,Bengaluru,2023-07-28,Basic,7,23219.45,2024-08-03,S3,1
CU00077,Vivaan Chopra,Bengaluru,2025-10-20,Basic,4,5736.05,2025-11-25,S3,0
CU00078,Vivaan Bose,Bengaluru,2025-11-03,Basic,3,10410.94,2025-11-27,S2,0
CU00079,Ishita Malhotra,Bengaluru,2025-03-05,Basic,5,12204.5,2024-10-20,S3,1
CU00080,Simran Ahluwalia,Bengaluru,2023-12-12,Silver,7,22317.41,2024-03-22,S2,1
CU00081,Zara Kapoor,Bengaluru,2024-10-20,Basic,1,1997.06,2025-11-23,S2,0
CU00082,Dev Bhatia,Bengaluru,2023-06-07,Basic,5,15996.58,2025-11-12,S1,0
CU00083,Zara Chatterjee,Bengaluru,2024-11-19,Basic,5,7962.9,2025-11-11,S3,0
CU00084,Vivaan Bhatia,Bengaluru,2024-11-01,Gold,6,10015.02,2025-11-13,S1,0
CU00085,Meher Rane,Bengaluru,2024-11-07,Gold,5,19103.04,2025-11-24,S1,0
CU00086,Dev Sethi,Bengaluru,2025-03-03,Basic,8,33867.6,2025-11-23,S2,0
CU00087,Aisha Chatterjee,Bengaluru,2025-05-11,Silver,2,3963.61,2025-11-08,S3,0
CU00088,Aditya Chopra,Bengaluru,2023-07-31,Gold,4,11110.42,2025-11-30,S1,0
CU00089,Kabir Sethi,Bengaluru,2025-04-21,Silver,5,19411.91,2025-11-21,S1,0
CU00090,Simran Bhatia,Bengaluru,2024-12-22,Gold,5,15158.78,2025-11-15,S1,0
CU00091,Meher Kapoor,Bengaluru,2025-02-08,Silver,5,19352.45,2025-12-01,S3,0
CU00092,Simran Bose,Bengaluru,2024-06-22,Gold,3,5596.87,2025-11-10,S2,0
CU00093,Rishi Rane,Bengaluru,2025-07-17,Basic,6,24924.71,2025-11-18,S2,0
CU00094,Ishita Bhatia,Bengaluru,2025-11-09,Silver,2,6461.54,2025-11-19,S2,0
CU00095,Farhan Chatterjee,Bengaluru,2024-04-16,Silver,7,19331.98,2025-11-22,S3,0
CU00096,Zara Malhotra,Bengaluru,2024-06-06,Basic,3,11908.17,2024-04-20,S2,1
CU00097,Zara Desai,Bengaluru,2024-07-05,Basic,5,12687.44,2025-11-07,S2,0
CU00098,Yash Chopra,Bengaluru,2025-07-15,Basic,1,2032.93,2025-11-21,S1,0
CU00099,Simran Desai,Bengaluru,2024-10-20,Basic,2,7772.77,2025-11-14,S2,0
CU00100,Kriti Kapoor,Bengaluru,2023-11-22,Basic,8,11236.84,2025-11-26,S1,0
CU00101,Yash Ahluwalia,Bengaluru,2023-11-14,Basic,3,5521.26,2025-11-08,S1,0
CU00102,Naina Desai,Bengaluru,2025-05-19,Basic,3,10073.11,2025-11-30,S3,0
CU00103,Farhan Desai,Bengaluru,2025-03-10,Gold,4,11053.78,2025-11-17,S2,0
CU00104,Nandini Rane,Bengaluru,2023-10-10,Basic,2,5421.25,2025-11-09,S3,0
CU00105,Aryan Rane,Bengaluru,2025-03-23,Silver,6,20758.43,2024-09-08,S2,1
CU00106,Anika Bose,Bengaluru,2024-01-20,Basic,4,5932.45,2025-11-10,S3,0
CU00107,Manav Malhotra,Bengaluru,2023-06-15,Silver,7,29524.52,2025-12-01,S1,0
CU00108,Zara Chatterjee,Bengaluru,2024-09-22,Platinum,6,25600.8,2024-04-16,S2,1
CU00109,Rishi Desai,Bengaluru,2024-11-23,Gold,5,20307.71,2025-11-12,S1,0
CU00110,Aisha Malhotra,Bengaluru,2024-04-22,Platinum,8,16691.72,2025-11-26,S1,0
CU00111,Vivaan Bhatia,Bengaluru,2024-08-24,Silver,4,16834.98,2025-12-01,S3,0
CU00112,Kabir Desai,Bengaluru,2024-05-03,Platinum,2,7450.1,2025-11-18,S2,0
CU00113,Meher Desai,Bengaluru,2024-01-03,Silver,2,8998.01,2025-11-08,S1,0
CU00114,Rohit Bose,Bengaluru,2025-09-19,Basic,4,11563.4,2024-08-17,S3,1
CU00115,Vivaan Malhotra,Bengaluru,2023-10-10,Basic,5,19660.52,2025-11-09,S1,0
CU00116,Zara Kapoor,Bengaluru,2023-12-27,Silver,1,3934.49,2024-10-24,S1,1
CU00117,Simran Chopra,Bengaluru,2024-04-03,Basic,3,7311.01,2025-11-10,S1,0
CU00118,Dev Desai,Bengaluru,2024-02-19,Basic,4,15739.03,2024-10-11,S1,1
CU00119,Rishi Bose,Bengaluru,2024-02-04,Silver,2,6707.57,2025-11-22,S3,0
CU00120,Aisha Malhotra,Bengaluru,2025-10-04,Silver,3,10118.53,2024-05-21,S1,1
CU00121,Rohit Bhatia,Bengaluru,2024-09-02,Silver,3,9784.06,2025-11-07,S1,0
CU00122,Simran Sethi,Bengaluru,2025-07-17,Silver,1,2415.41,2024-10-25,S2,1
CU00123,Tanvi Kapoor,Bengaluru,2024-02-22,Basic,3,5716.5,2025-11-12,S1,0
CU00124,Yash Bose,Bengaluru,2024-10-14,Silver,6,22440.1,2025-11-12,S3,0
CU00125,Ishita Sethi,Bengaluru,2023-12-14,Basic,5,15515.44,2025-11-22,S3,0
CU00126,Ishita Chatterjee,Bengaluru,2025-04-07,Gold,4,16258.82,2025-11-14,S3,0
CU00127,Nandini Bhatia,Bengaluru,2024-08-05,Silver,3,8440.25,2025-11-13,S3,0
CU00128,Yash Kapoor,Bengaluru,2025-05-01,Basic,5,7912.12,2025-11-20,S2,0
CU00129,Rishi Chatterjee,Bengaluru,2024-10-11,Basic,6,23033.46,2025-11-29,S3,0
CU00130,Rishi Malhotra,Bengaluru,2025-02-18,Basic,2,8268.09,2024-05-24,S1,1
CU00131,Rishi Bose,Bengaluru,2023-08-25,Silver,9,34930.24,2025-11-15,S2,0
CU00132,Vivaan Chopra,Bengaluru,2025-03-16,Basic,3,12421.69,2024-05-06,S2,1
CU00133,Naina Sethi,Bengaluru,2025-05-24,Basic,2,6621.35,2025-11-28,S3,0
CU00134,Ishita Kapoor,Bengaluru,2023-06-02,Platinum,3,12348.83,2025-11-19,S2,0
CU00135,Farhan Chatterjee,Bengaluru,2024-08-07,Gold,5,6005.76,2025-11-23,S1,0
CU00136,Ishita Bhatia,Bengaluru,2025-06-10,Basic,3,7548.59,2024-11-16,S3,1
CU00137,Yash Bose,Bengaluru,2024-12-07,Basic,6,25996.29,2024-01-26,S1,1
CU00138,Aisha Chatterjee,Bengaluru,2025-04-27,Basic,3,5956.77,2025-11-29,S2,0
CU00139,Rohit Chatterjee,Bengaluru,2025-04-20,Gold,3,9200.67,2025-11-22,S1,0
CU00140,Ishita Chatterjee,Bengaluru,2025-10-23,Silver,3,7143.73,2025-11-11,S2,0
CU00141,Nandini Bhatia,Bengaluru,2024-04-16,Basic,4,11086.69,2025-11-10,S2,0
CU00142,Nandini Kapoor,Bengaluru,2023-09-27,Silver,5,11565.05,2025-11-11,S3,0
CU00143,Farhan Malhotra,Bengaluru,2025-09-28,Gold,4,17398.93,2024-12-10,S1,1
CU00144,Nandini Bhatia,Bengaluru,2024-12-17,Basic,1,3180.53,2024-05-05,S3,1
CU00145,Rishi Malhotra,Bengaluru,2025-01-13,Basic,2,5667.99,2025-11-12,S2,0
CU00146,Yash Kapoor,Bengaluru,2024-02-26,Silver,1,4324.84,2025-11-16,S3,0
CU00147,Vivaan Kapoor,Bengaluru,2023-07-11,Silver,1,3116.44,2024-08-02,S1,1
CU00148,Aditya Bhatia,Bengaluru,2023-08-14,Basic,2,5558.83,2025-11-25,S1,0
CU00149,Aisha Chopra,Bengaluru,2025-10-29,Basic,4,14087.28,2024-02-14,S3,1
CU00150,Zara Bose,Bengaluru,2024-01-03,Basic,5,15335.18,2025-11-08,S3,0
CU00151,Kabir Bose,Bengaluru,2024-05-31,Basic,2,8755.95,2025-11-18,S2,0
CU00152,Ishita Ahluwalia,Bengaluru,2025-03-14,Basic,5,9993.65,2025-11-22,S1,0
CU00153,Naina Rane,Bengaluru,2024-05-31,Silver,1,3316.9,2025-11-27,S2,0
CU00154,Aisha Ahluwalia,Bengaluru,2024-11-01,Silver,2,8923.15,2025-11-16,S1,0
CU00155,Tanvi Kapoor,Bengaluru,2024-04-22,Gold,2,3333.92,2025-11-21,S2,0
CU00156,Rohit Sethi,Bengaluru,2024-05-31,Gold,2,6461.34,2025-11-20,S3,0
CU00157,Rishi Malhotra,Bengaluru,2023-07-26,Basic,7,31416.85,2024-09-14,S1,1
CU00158,Tanvi Chopra,Bengaluru,2025-11-12,Gold,1,1479.58,2024-06-11,S3,1
CU00159,Kriti Rane,Bengaluru,2025-10-16,Basic,7,27587.95,2025-11-22,S1,0
CU00160,Kriti Ahluwalia,Bengaluru,2024-05-28,Silver,5,17257.46,2025-11-18,S3,0
CU00161,Naina Desai,Bengaluru,2025-08-03,Basic,4,14302.77,2024-10-10,S2,1
CU00162,Aryan Sethi,Bengaluru,2025-07-15,Platinum,4,8510.51,2024-03-17,S1,1
CU00163,Aisha Chatterjee,Bengaluru,2025-01-23,Silver,4,9836.68,2024-07-25,S3,1
CU00164,Ishita Bose,Bengaluru,2024-07-16,Basic,3,8706.02,2024-06-14,S3,1
CU00165,Nandini Rane,Bengaluru,2025-10-10,Basic,2,4258.67,2025-11-16,S1,0
CU00166,Rishi Bose,Bengaluru,2023-09-03,Basic,2,6713.63,2025-11-09,S3,0
CU00167,Vivaan Bhatia,Bengaluru,2025-02-24,Silver,4,8514.59,2025-11-12,S2,0
CU00168,Aryan Bhatia,Bengaluru,2024-07-05,Basic,6,12702.79,2025-11-07,S3,0
CU00169,Kabir Bose,Bengaluru,2025-02-06,Basic,3,10902.03,2024-04-14,S3,1
CU00170,Yash Rane,Bengaluru,2024-03-13,Gold,4,9989.0,2025-11-30,S1,0
CU00171,Vivaan Desai,Bengaluru,2024-01-10,Basic,4,12110.04,2025-11-08,S3,0
CU00172,Kabir Malhotra,Bengaluru,2024-01-07,Basic,2,3087.52,2025-11-30,S3,0
CU00173,Farhan Kapoor,Bengaluru,2024-01-06,Basic,8,20047.16,2025-11-12,S1,0
CU00174,Simran Chatterjee,Bengaluru,2025-03-28,Gold,2,2740.22,2025-11-12,S2,0
CU00175,Zara Bhatia,Bengaluru,2024-09-16,Basic,2,6189.11,2025-12-01,S3,0
CU00176,Manav Chatterjee,Bengaluru,2025-10-20,Silver,3,6228.96,2024-10-25,S2,1
CU00177,Meher Bhatia,Bengaluru,2024-06-21,Basic,2,8187.41,2024-03-03,S2,1
CU00178,Yash Ahluwalia,Bengaluru,2023-08-16,Basic,3,7201.35,2025-11-09,S2,0
CU00179,Ishita Ahluwalia,Bengaluru,2025-05-18,Basic,4,16916.87,2025-11-23,S3,0
CU00180,Ishita Malhotra,Bengaluru,2024-04-04,Platinum,6,7465.84,2025-11-25,S3,0
CU00181,Meher Bhatia,Bengaluru,2024-12-20,Basic,9,19251.66,2024-04-22,S3,1
CU00182,Farhan Sethi,Bengaluru,2024-09-03,Platinum,1,1778.32,2025-11-21,S3,0
CU00183,Aisha Rane,Bengaluru,2024-07-09,Silver,4,8939.85,2025-11-08,S1,0
CU00184,Vivaan Kapoor,Bengaluru,2024-07-16,Silver,6,25078.42,2025-11-25,S2,0
CU00185,Aditya Chatterjee,Bengaluru,2023-12-22,Gold,2,2744.4,2025-11-20,S3,0
CU00186,Kabir Ahluwalia,Bengaluru,2024-04-26,Silver,2,2689.53,2024-01-10,S1,1
CU00187,Farhan Chatterjee,Bengaluru,2024-09-10,Gold,5,19368.71,2024-08-07,S2,1
CU00188,Aisha Sethi,Bengaluru,2025-04-02,Silver,2,8015.81,2024-01-07,S2,1
CU00189,Zara Sethi,Bengaluru,2024-08-08,Basic,5,8968.29,2025-11-23,S1,0
CU00190,Yash Rane,Bengaluru,2023-08-31,Gold,7,11933.75,2025-11-15,S3,0
CU00191,Dev Sethi,Bengaluru,2024-01-11,Silver,4,14586.85,2025-11-21,S2,0
CU00192,Aryan Chatterjee,Bengaluru,2025-11-05,Gold,3,6418.35,2025-11-18,S1,0
CU00193,Ishita Bhatia,Bengaluru,2024-03-07,Basic,2,7779.24,2025-11-21,S2,0
CU00194,Nandini Chatterjee,Bengaluru,2025-04-15,Silver,7,22582.63,2024-09-20,S3,1
CU00195,Yash Malhotra,Bengaluru,2025-07-31,Silver,6,15684.37,2025-11-23,S2,0
CU00196,Simran Kapoor,Bengaluru,2025-01-11,Silver,2,8666.65,2024-10-24,S2,1
CU00197,Rishi Sethi,Bengaluru,2024-01-15,Silver,3,11475.97,2025-11-08,S2,0
CU00198,Vivaan Chopra,Bengaluru,2023-12-12,Basic,5,14834.92,2025-11-12,S1,0
CU00199,Aditya Chopra,Bengaluru,2024-06-18,Basic,3,9326.7,2024-06-01,S3,1
CU00200,Yash Chopra,Bengaluru,2023-08-05,Silver,7,24714.55,2025-11-17,S2,0
CU00201,Aisha Chopra,Bengaluru,2023-06-02,Basic,2,7958.24,2024-10-04,S2,1
CU00202,Manav Desai,Bengaluru,2023-11-11,Basic,3,4743.79,2025-11-25,S2,0
CU00203,Aditya Ahluwalia,Bengaluru,2025-10-02,Silver,2,4471.32,2024-07-08,S3,1
CU00204,Aditya Bose,Bengaluru,2023-06-13,Basic,3,8602.91,2025-11-09,S3,0
CU00205,Rohit Desai,Bengaluru,2024-07-01,Silver,5,22332.45,2024-04-12,S3,1
CU00206,Naina Chopra,Bengaluru,2023-06-05,Silver,8,35104.79,2024-08-17,S2,1
CU00207,Meher Sethi,Bengaluru,2023-06-12,Gold,5,11254.69,2024-04-12,S3,1
CU00208,Ishita Desai,Bengaluru,2023-06-10,Silver,5,8968.06,2025-11-23,S3,0
CU00209,Yash Desai,Bengaluru,2025-03-24,Gold,4,16173.53,2024-08-13,S2,1
CU00210,Kabir Malhotra,Bengaluru,2025-11-15,Basic,3,4836.26,2025-11-28,S1,0
CU00211,Zara Kapoor,Bengaluru,2025-01-05,Basic,2,3786.2,2024-05-24,S2,1
CU00212,Farhan Chatterjee,Bengaluru,2025-02-26,Gold,2,6179.47,2025-12-01,S1,0
CU00213,Dev Bhatia,Bengaluru,2024-01-28,Basic,4,14818.95,2025-11-09,S1,0
CU00214,Aditya Bose,Bengaluru,2025-01-14,Basic,4,5471.5,2024-05-10,S1,1
CU00215,Ishita Desai,Bengaluru,2025-05-24,Basic,6,18242.34,2025-11-15,S1,0
CU00216,Kabir Chopra,Bengaluru,2024-07-24,Basic,6,15693.48,2025-11-08,S3,0
CU00217,Rishi Kapoor,Bengaluru,2023-12-20,Basic,4,15017.78,2025-11-09,S3,0
CU00218,Rishi Chatterjee,Bengaluru,2025-11-02,Gold,4,13396.37,2025-11-10,S2,0
CU00219,Anika Malhotra,Bengaluru,2025-02-23,Basic,6,8724.84,2025-11-27,S1,0
CU00220,Aisha Sethi,Bengaluru,2025-07-20,Silver,5,9083.2,2024-12-07,S2,1
CU00221,Ishita Ahluwalia,Bengaluru,2025-02-19,Basic,2,8295.26,2025-11-19,S1,0
CU00222,Rohit Chopra,Bengaluru,2024-05-23,Silver,2,7314.01,2024-02-06,S2,1
CU00223,Nandini Chopra,Bengaluru,2025-07-12,Basic,5,15602.0,2024-02-11,S2,1
CU00224,Anika Kapoor,Bengaluru,2024-10-25,Silver,7,20271.81,2025-11-26,S1,0
CU00225,Meher Chopra,Bengaluru,2025-10-09,Basic,5,13863.54,2025-11-30,S3,0
CU00226,Rishi Rane,Bengaluru,2024-11-24,Gold,2,4883.64,2025-11-11,S3,0
CU00227,Aryan Ahluwalia,Bengaluru,2024-11-13,Silver,5,9873.9,2025-11-07,S3,0
CU00228,Rohit Desai,Bengaluru,2024-10-13,Basic,3,6180.4,2024-09-19,S1,1
CU00229,Simran Chopra,Bengaluru,2024-09-18,Silver,3,4807.24,2025-11-18,S1,0
CU00230,Kriti Desai,Bengaluru,2025-09-25,Gold,5,22184.95,2025-11-18,S2,0
CU00231,Ishita Rane,Bengaluru,2024-04-07,Silver,5,13639.14,2025-11-21,S1,0
CU00232,Simran Sethi,Bengaluru,2025-10-25,Silver,5,13542.19,2025-11-08,S1,0
CU00233,Ishita Desai,Bengaluru,2024-12-24,Basic,2,7210.14,2025-11-27,S3,0
CU00234,Simran Malhotra,Bengaluru,2024-12-17,Basic,3,13485.96,2024-01-06,S2,1
